time,value
176.216232,125.406204
176.239456,127.472580
176.262680,121.679344
176.285889,112.992813
176.309113,116.503021
176.332336,109.433533
176.355560,110.375778
176.378769,121.355721
176.401993,125.738304
176.425217,133.171158
176.448441,127.511475
176.471649,120.300171
176.494873,121.222801
176.518097,116.148521
176.541321,121.886375
176.564529,122.354095
176.587753,112.824066
176.610977,115.311546
176.634201,116.534447
176.657410,122.808136
176.680634,133.803864
176.703857,120.409523
176.727081,118.738380
176.750290,128.185959
176.773514,119.027191
176.796738,123.658073
176.819962,128.813797
176.843170,126.272766
176.866394,128.618179
176.889618,128.546463
176.912842,121.777596
176.936050,124.273438
176.959274,123.933342
176.982498,114.814278
177.005707,121.304588
177.028931,127.399429
177.052155,119.933922
177.075378,113.206184
177.098587,120.581650
177.121811,123.977448
177.145035,123.762108
177.168259,124.265457
177.191467,116.764702
177.214691,112.269814
177.237915,122.552574
177.261139,124.730919
177.284348,120.649208
177.307571,121.422569
177.330795,123.498024
177.354019,130.916046
177.377228,131.611359
177.400452,122.823967
177.423676,122.971504
177.446899,125.174019
177.470108,124.059105
177.493332,124.806877
177.516556,124.178780
177.539780,125.150833
177.562988,130.651062
177.586212,134.673553
177.609436,129.604660
177.632660,126.498268
177.655869,119.010353
177.679092,118.617371
177.702316,128.355865
177.725540,120.234505
177.748749,109.080444
177.771973,114.273354
177.795197,117.059326
177.818405,133.987640
177.841629,140.450500
177.864853,119.340683
177.888077,114.316910
177.911285,124.395302
177.934509,125.225273
177.957733,118.451469
177.980957,111.985901
178.004166,125.271690
178.027390,131.567993
178.050613,119.057877
178.073837,115.304878
178.097046,114.362076
178.120270,118.208031
178.143494,126.117020
178.166718,133.760483
178.189926,121.181091
178.213150,110.752815
178.236374,116.758522
178.259598,118.962738
178.282806,123.528610
178.306030,124.094467
178.329254,122.592766
178.352478,120.755165
178.375687,118.647072
178.398911,121.558273
178.422134,118.634552
178.445358,114.559921
178.468567,124.632996
178.491791,122.224449
178.515015,112.234680
178.538239,110.467255
178.561447,113.142372
178.584671,123.721230
178.607895,123.867897
178.631104,118.861580
178.654327,114.831680
178.677551,112.574883
178.700775,120.716560
178.723984,116.264076
178.747208,109.499916
178.770432,106.760986
178.793655,98.738464
178.816864,110.013885
178.840088,122.060760
178.863312,116.743607
178.886536,115.037613
178.909744,117.251686
178.932968,122.765800
178.956192,119.607941
178.979416,119.187759
179.002625,121.612999
179.025848,117.205864
179.049072,118.635124
179.072296,114.959587
179.095505,118.515762
179.118729,142.389618
179.141953,156.442093
179.165176,136.406174
179.188385,117.260124
179.211609,122.120895
179.234833,141.279633
179.258057,145.096176
179.281265,126.632599
179.304489,123.019485
179.327713,128.310959
179.350937,134.527832
179.374146,141.456863
179.397369,142.404388
179.420593,148.055847
179.443817,159.374573
179.467026,184.486893
179.490250,201.275986
179.513474,195.136459
179.536682,167.363144
179.559906,173.241638
179.583130,244.583725
179.606354,256.680786
179.629562,267.782654
179.652786,294.445618
179.676010,262.563568
179.699234,227.648224
179.722443,222.478653
179.745667,212.810425
179.768890,258.621918
179.792114,327.065033
179.815323,288.079376
179.838547,189.884613
179.861771,171.993210
179.884995,224.394257
179.908203,386.420319
179.931427,463.698669
179.954651,384.194580
179.977875,301.147095
180.001083,268.009369
180.024307,232.457581
180.047531,220.498169
180.070755,216.829681
180.093964,223.248169
180.117188,225.792664
180.140411,239.086075
180.163635,259.894196
180.186844,267.175018
180.210068,311.534943
180.233292,387.537872
180.256516,437.611145
180.279724,395.720306
180.302948,302.775604
180.326172,251.153076
180.349380,216.590012
180.372604,196.848038
180.395828,207.051025
180.419052,216.888718
180.442261,203.413330
180.465485,202.711151
180.488708,204.928162
180.511932,179.815384
180.535141,191.827454
180.558365,202.578384
180.581589,141.387222
180.604813,100.527596
180.628021,118.138962
180.651245,111.622787
180.674469,105.879967
180.697693,104.238762
180.720901,96.895393
180.744125,97.328102
180.767349,94.864037
180.790573,81.097298
180.813782,63.544353
180.837006,91.328590
180.860229,101.950371
180.883453,76.295807
180.906662,56.092281
180.929886,113.186424
180.953110,157.265076
180.976334,142.529907
180.999542,127.020508
181.022766,130.081161
181.045990,120.410286
181.069214,95.708496
181.092422,71.439270
181.115646,54.159977
181.138870,118.553314
181.162079,257.393738
181.185303,383.715271
181.208527,451.837585
181.231750,411.515350
181.254959,303.708160
181.278183,231.704895
181.301407,184.003174
181.324631,167.019989
181.347839,180.886490
181.371063,191.429382
181.394287,189.900574
181.417511,187.667572
181.440720,195.990341
181.463943,215.707291
181.487167,313.834534
181.510391,418.356903
181.533600,424.050568
181.556824,363.944427
181.580048,296.329712
181.603271,251.155792
181.626480,257.544403
181.649704,288.239380
181.672928,297.260468
181.696152,281.642242
181.719360,268.319061
181.742584,263.941711
181.765808,283.712158
181.789032,269.494781
181.812241,210.233780
181.835464,153.230927
181.858688,100.377007
181.881912,99.918510
181.905121,110.287064
181.928345,92.020851
181.951569,88.705780
181.974777,71.103668
181.998001,78.551407
182.021225,92.226357
182.044449,68.323975
182.067657,50.791023
182.090881,60.477383
182.114105,85.620583
182.137329,86.459511
182.160538,63.711105
182.183762,45.143135
182.206985,73.722740
182.230209,89.337105
182.253418,70.557030
182.276642,50.572636
182.299866,43.227390
182.323090,76.388885
182.346298,83.075043
182.369522,64.171387
182.392746,49.596878
182.415970,59.015011
182.439178,79.963097
182.462402,92.843330
182.485626,92.232841
182.508850,61.328148
182.532059,111.466820
182.555283,153.993042
182.578506,222.763016
182.601730,229.411026
182.624939,138.261948
182.648163,173.522385
182.671387,213.284515
182.694611,219.340057
182.717819,172.559906
182.741043,87.581772
182.764267,117.831909
182.787476,93.838112
182.810699,55.367085
182.833923,83.152908
182.857147,149.031097
182.880356,139.892929
182.903580,59.846405
182.926804,40.619850
182.950027,55.780281
182.973236,62.448658
182.996460,48.347111
183.019684,37.263130
183.042908,97.225098
183.066116,134.510620
183.089340,102.179771
183.112564,72.143791
183.135788,105.165009
183.158997,116.705399
183.182220,91.255592
183.205444,57.069565
183.228668,36.784550
183.251877,102.985420
183.275101,236.954437
183.298325,371.868774
183.321548,399.378967
183.344757,388.363800
183.367981,332.452911
183.391205,229.029846
183.414429,215.713013
183.437637,213.516205
183.460861,222.123779
183.484085,236.614655
183.507309,259.603638
183.530518,260.744537
183.553741,277.536102
183.576965,298.428192
183.600174,343.192688
183.623398,414.741425
183.646622,440.390381
183.669846,351.784485
183.693054,241.338104
183.716278,233.450806
183.739502,216.140106
183.762726,192.316666
183.785934,179.395813
183.809158,195.160126
183.832382,204.432037
183.855606,189.775757
183.878815,167.770447
183.902039,151.225723
183.925262,177.902084
183.948486,162.853821
183.971695,86.412369
183.994919,94.742500
184.018143,100.492355
184.041367,85.203903
184.064575,83.123016
184.087799,67.757172
184.111023,75.583237
184.134247,87.542336
184.157455,66.487953
184.180679,48.651112
184.203903,52.131779
184.227127,73.565857
184.250336,74.384346
184.273560,53.986832
184.296783,30.063162
184.320007,119.794716
184.343216,159.752686
184.366440,128.522507
184.389664,111.704735
184.412872,123.822716
184.436096,114.648026
184.459320,86.930412
184.482544,55.860477
184.505753,40.969704
184.528976,131.044159
184.552200,323.559204
184.575424,424.765808
184.598633,389.601379
184.621857,330.324036
184.645081,294.914337
184.668304,239.320877
184.691513,202.312408
184.714737,226.766068
184.737961,248.791687
184.761185,265.167664
184.784393,279.819061
184.807617,283.249512
184.830841,296.112183
184.854065,308.455597
184.877274,366.796234
184.900497,433.684875
184.923721,428.149750
184.946945,338.413696
184.970154,218.906952
184.993378,192.818359
185.016602,205.425354
185.039825,203.536301
185.063034,197.166199
185.086258,177.251511
185.109482,178.764420
185.132706,190.299789
185.155914,169.359314
185.179138,163.020218
185.202362,187.665588
185.225571,145.539810
185.248795,81.710999
185.272018,104.435303
185.295242,98.729294
185.318451,91.118683
185.341675,83.304848
185.364899,69.618210
185.388123,82.945618
185.411331,83.605652
185.434555,59.990425
185.457779,41.390591
185.481003,71.415993
185.504211,89.966591
185.527435,80.119865
185.550659,64.710854
185.573883,51.475189
185.597092,73.963829
185.620316,72.758835
185.643539,47.862617
185.666763,45.509041
185.689972,53.791679
185.713196,70.225456
185.736420,69.266495
185.759644,62.845089
185.782852,117.998901
185.806076,238.654266
185.829300,339.764252
185.852524,359.752533
185.875732,379.969330
185.898956,354.606445
185.922180,292.636536
185.945404,323.298553
185.968613,356.853943
185.991837,372.671906
186.015060,339.005005
186.038269,278.992554
186.061493,186.478821
186.084717,36.991344
186.107941,89.542381
186.131149,223.540634
186.154373,263.712708
186.177597,174.277954
186.200821,67.214546
186.224030,158.330032
186.247253,229.610733
186.270477,248.367081
186.293701,358.437439
186.316910,423.317657
186.340134,346.536865
186.363358,304.276550
186.386581,304.843292
186.409790,282.485626
186.433014,272.969666
186.456238,238.910950
186.479462,330.030701
186.502670,403.400421
186.525894,397.554535
186.549118,402.130981
186.572342,418.522919
186.595551,433.989655
186.618774,399.891052
186.641998,290.111328
186.665222,300.194489
186.688431,381.940613
186.711655,412.006134
186.734879,371.452148
186.758102,297.754364
186.781311,269.152832
186.804535,232.993622
186.827759,226.980087
186.850983,225.236984
186.874191,248.946686
186.897415,257.804626
186.920639,248.254227
186.943848,249.788559
